rank_test_score,mean_test_score,std_test_score,mean_train_score,std_train_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__alpha,param_model__l1_ratio,params,split0_test_score,split0_train_score
53,-0.9046954775300642,0.0,-0.9966105693023573,0.0,0.13241219520568848,0.0,0.0021576881408691406,0.0,1000,0.0,"{'model__alpha': 1000, 'model__l1_ratio': 0.0}",-0.9046954775300642,-0.9966105693023573
54,-0.9074554420059358,0.0,-0.9996594736283353,0.0,0.15563178062438965,0.0,0.0018754005432128906,0.0,10000,0.0,"{'model__alpha': 10000, 'model__l1_ratio': 0.0}",-0.9074554420059358,-0.9996594736283353
55,-0.9077637051865229,0.0,-0.9999999999999999,0.0,0.00743865966796875,0.0,0.010636329650878906,0.0,1,0.6000000000000001,"{'model__alpha': 1, 'model__l1_ratio': 0.6000000000000001}",-0.9077637051865229,-0.9999999999999999
55,-0.9077637051865229,0.0,-0.9999999999999999,0.0,0.012659549713134766,0.0,0.002254009246826172,0.0,1,0.7000000000000001,"{'model__alpha': 1, 'model__l1_ratio': 0.7000000000000001}",-0.9077637051865229,-0.9999999999999999
55,-0.9077637051865229,0.0,-0.9999999999999999,0.0,0.007516145706176758,0.0,0.0024123191833496094,0.0,1,0.8,"{'model__alpha': 1, 'model__l1_ratio': 0.8}",-0.9077637051865229,-0.9999999999999999
55,-0.9077637051865229,0.0,-0.9999999999999999,0.0,0.00628972053527832,0.0,0.0017642974853515625,0.0,1,0.9,"{'model__alpha': 1, 'model__l1_ratio': 0.9}",-0.9077637051865229,-0.9999999999999999
55,-0.9077637051865229,0.0,-0.9999999999999999,0.0,0.014986753463745117,0.0,0.001482248306274414,0.0,1,1.0,"{'model__alpha': 1, 'model__l1_ratio': 1.0}",-0.9077637051865229,-0.9999999999999999
55,-0.9077637051865229,0.0,-0.9999999999999999,0.0,0.010131597518920898,0.0,0.002100229263305664,0.0,10,0.1,"{'model__alpha': 10, 'model__l1_ratio': 0.1}",-0.9077637051865229,-0.9999999999999999
55,-0.9077637051865229,0.0,-0.9999999999999999,0.0,0.008050680160522461,0.0,0.0022420883178710938,0.0,10,0.2,"{'model__alpha': 10, 'model__l1_ratio': 0.2}",-0.9077637051865229,-0.9999999999999999
55,-0.9077637051865229,0.0,-0.9999999999999999,0.0,0.007962226867675781,0.0,0.002103567123413086,0.0,10,0.30000000000000004,"{'model__alpha': 10, 'model__l1_ratio': 0.30000000000000004}",-0.9077637051865229,-0.9999999999999999
55,-0.9077637051865229,0.0,-0.9999999999999999,0.0,0.0068056583404541016,0.0,0.0021109580993652344,0.0,10,0.4,"{'model__alpha': 10, 'model__l1_ratio': 0.4}",-0.9077637051865229,-0.9999999999999999
55,-0.9077637051865229,0.0,-0.9999999999999999,0.0,0.008954763412475586,0.0,0.0019626617431640625,0.0,10,0.5,"{'model__alpha': 10, 'model__l1_ratio': 0.5}",-0.9077637051865229,-0.9999999999999999
55,-0.9077637051865229,0.0,-0.9999999999999999,0.0,0.006762266159057617,0.0,0.0019223690032958984,0.0,10,0.6000000000000001,"{'model__alpha': 10, 'model__l1_ratio': 0.6000000000000001}",-0.9077637051865229,-0.9999999999999999
55,-0.9077637051865229,0.0,-0.9999999999999999,0.0,0.006688833236694336,0.0,0.0019202232360839844,0.0,10,0.7000000000000001,"{'model__alpha': 10, 'model__l1_ratio': 0.7000000000000001}",-0.9077637051865229,-0.9999999999999999
55,-0.9077637051865229,0.0,-0.9999999999999999,0.0,0.006871461868286133,0.0,0.0019822120666503906,0.0,10,0.8,"{'model__alpha': 10, 'model__l1_ratio': 0.8}",-0.9077637051865229,-0.9999999999999999
55,-0.9077637051865229,0.0,-0.9999999999999999,0.0,0.006911277770996094,0.0,0.001615285873413086,0.0,10,0.9,"{'model__alpha': 10, 'model__l1_ratio': 0.9}",-0.9077637051865229,-0.9999999999999999
55,-0.9077637051865229,0.0,-0.9999999999999999,0.0,0.0060160160064697266,0.0,0.0017120838165283203,0.0,10,1.0,"{'model__alpha': 10, 'model__l1_ratio': 1.0}",-0.9077637051865229,-0.9999999999999999
55,-0.9077637051865229,0.0,-0.9999999999999999,0.0,0.006827831268310547,0.0,0.0022275447845458984,0.0,100,0.1,"{'model__alpha': 100, 'model__l1_ratio': 0.1}",-0.9077637051865229,-0.9999999999999999
55,-0.9077637051865229,0.0,-0.9999999999999999,0.0,0.008306264877319336,0.0,0.0021359920501708984,0.0,100,0.2,"{'model__alpha': 100, 'model__l1_ratio': 0.2}",-0.9077637051865229,-0.9999999999999999
55,-0.9077637051865229,0.0,-0.9999999999999999,0.0,0.006649017333984375,0.0,0.0019621849060058594,0.0,100,0.30000000000000004,"{'model__alpha': 100, 'model__l1_ratio': 0.30000000000000004}",-0.9077637051865229,-0.9999999999999999
55,-0.9077637051865229,0.0,-0.9999999999999999,0.0,0.006874799728393555,0.0,0.0020139217376708984,0.0,100,0.4,"{'model__alpha': 100, 'model__l1_ratio': 0.4}",-0.9077637051865229,-0.9999999999999999
55,-0.9077637051865229,0.0,-0.9999999999999999,0.0,0.006677150726318359,0.0,0.001964569091796875,0.0,100,0.5,"{'model__alpha': 100, 'model__l1_ratio': 0.5}",-0.9077637051865229,-0.9999999999999999
